GraphId,Vertices,Edges,PrimCost,KruskalCost,PrimTime(ms),KruskalTime(ms),PrimOperations,KruskalOperations
1,1300,84435,12890,12890,3544,32,16,32,109862636,1371784
2,1600,127920,15640,15640,6829,37,26,14,204817085,2074956
3,2000,199900,19232,19232,11012,51,41,78,400026449,3445372
